temp,sg,comment,id,type,time,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
19.2,,,manual,manual,1623360720000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,YTZTlI7HZqZVuqzoNxurycODraqoQu,2021-06-10T21:32:00.000Z,
19.8,,,manual,manual,1623348174286,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,N8fsSmCqr6xKM1HsGRF9KkUaxC6t23,2021-06-10T18:02:54.286Z,
19.2,,,manual,manual,1623309540000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,D9CnzRqcZU4SWFkVH40vivP1xPIiao,2021-06-10T07:19:00.000Z,
18.7,,,manual,manual,1623275438272,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,jZeCvF7BnOMJpdUcgJLSO4Rbxy3JLI,2021-06-09T21:50:38.272Z,
18.2,,,manual,manual,1623242828311,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,Vu5l36CaB0AiDk5R7WFy4gWPTnySWL,2021-06-09T12:47:08.311Z,
18.9,,,manual,manual,1623221820000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,Wkfa923m425sVtxssxoBRFDZnCLLKc,2021-06-09T06:57:00.000Z,
18.3,,,manual,manual,1623188820000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,KiDT1BZOdkLYH706kkIQdlIuUl0v3Q,2021-06-08T21:47:00.000Z,
18.7,,,manual,manual,1623153429627,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,EKiLKyk2Iicn8dGVavWeraTGwXAEuL,2021-06-08T11:57:09.627Z,
18.7,,,manual,manual,1623129720000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,gtaoKawZ7iLuvszKguMzf3KKAyRqGC,2021-06-08T05:22:00.000Z,
18.4,,,manual,manual,1623097798239,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,3d0KoWt8tZCGBW1Ml37W8VyoE3Eg23,2021-06-07T20:29:58.239Z,
18,,,manual,manual,1623072000000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,nNdK8eb15y9YBYtUQGHxiB2Gppy2D2,2021-06-07T13:20:00.000Z,
18.1,,,manual,manual,1623048060000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,8x7xGcDQpDc3SQWgoeiN39Xasbzax7,2021-06-07T06:41:00.000Z,
18.8,,,manual,manual,1623013440000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,YCI8K2kfOZayUn8Hz1LKsFCpuVrysb,2021-06-06T21:04:00.000Z,
18.1,,,manual,manual,1623000720000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,bkxhVPJOvNRXX6oepPyG7UEMrHQfGH,2021-06-06T17:32:00.000Z,
16.4,,,manual,manual,1622966100000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,aDdCXjPCPQ4GOjlM4Yr9VBzQ7x9lsi,2021-06-06T07:55:00.000Z,
16.4,,,manual,manual,1622926374783,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,rGU19wbX5n9VBQB95rkClMr7qJFQLl,2021-06-05T20:52:54.783Z,
16.1,,,manual,manual,1622900147449,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,4wGmSISkON5fo5lOp6AnrmHliBOpLy,2021-06-05T13:35:47.449Z,
15.8,,,manual,manual,1622878020000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,RtkQ2d4YXVzVVBPyIvbuyl63aRVe3L,2021-06-05T07:27:00.000Z,
17,,,manual,manual,1622842968968,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,hcIJJaOvrQeW22aik1fPrqM0QMD1hY,2021-06-04T21:42:48.968Z,
15.9,,,manual,manual,1622820000000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,waZ3GrB3bqw7OW50D1MEtk7Sfr63T1,2021-06-04T15:20:00.000Z,
16.6,,,manual,manual,1622789444026,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,5ZccQQ9hJF2bdeCRS2pVZnJq2QjfDN,2021-06-04T06:50:44.026Z,
16.8,,,manual,manual,1622743500000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,Yj0M7PzBt5uYRRES52FvHc55KCDE2Z,2021-06-03T18:05:00.000Z,
15.6,,,manual,manual,1622721840000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,h74RX71CmYtumXHl8wgd8u3YOWOOI5,2021-06-03T12:04:00.000Z,
16.4,,,manual,manual,1622702040000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,y5YaytyQPvy1AYJSVgnnaDchau4aC2,2021-06-03T06:34:00.000Z,
15.9,,,manual,manual,1622663580000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,PgVWXvI2Osc70xqjKROeqLRphxU0FW,2021-06-02T19:53:00.000Z,
16,,,manual,manual,1622632080000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,TsKzdT8CionxYbFGf66MuKSBakRb7N,2021-06-02T11:08:00.000Z,
15.7,,,manual,manual,1622612878814,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,UfT6HIZLmQ3bOKGHqMD2C7uChNqJuf,2021-06-02T05:47:58.814Z,
15.9,,,manual,manual,1622581740000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,pYnUXqaDHBSnuiy3RVRm7Yen2dJdMW,2021-06-01T21:09:00.000Z,
16.5,,,manual,manual,1622563020000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,T89lA6KUoHzCBrderX8vgd2gdJp0sI,2021-06-01T15:57:00.000Z,
16.2,,,manual,manual,1622526660000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,oxwHw02dNjRKhee8Z70Zy0B4QZOyyV,2021-06-01T05:51:00.000Z,
15.8,,,manual,manual,1622496060000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,37KVuoZfF8OhduhbFxzUxH1RXZBYRw,2021-05-31T21:21:00.000Z,
17.3,,,manual,manual,1622470380000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,A4A6oXUsi5XWOBAqevDZynB29m85Gy,2021-05-31T14:13:00.000Z,
16.2,,,manual,manual,1622443140000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,wIshSkgXjG1TgQ7gQS0QPtkGS0alqd,2021-05-31T06:39:00.000Z,
17.2,,,manual,manual,1622407680000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,xi0nfWDuGui79w8M3XnIftpyHwn5r6,2021-05-30T20:48:00.000Z,
17.2,,,manual,manual,1622385300000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ROTlVLbt7L1R8qoh1FLvTh30pzjqyo,2021-05-30T14:35:00.000Z,
16,,,manual,manual,1622359583975,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,3cc3DXMSNO89G2fZvq6w5JlBrfBk0N,2021-05-30T07:26:23.975Z,
16.3,,,manual,manual,1622318580000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,T77ryzxVLDSDQzSLh9rlBRpjHwqYAd,2021-05-29T20:03:00.000Z,
16.2,,,manual,manual,1622296027767,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,j8bJoPxA4t5Ha032xds35OH4okelhk,2021-05-29T13:47:07.767Z,
