temp,comment,time,id,sg,type,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
19.7,no bubbles.,1776106800000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,XwYP6bJTntaQH9fZZLgSTvjuXdpi3E,2026-04-13T19:00:00.000Z,,652.66982
19.1,no bubbles.,1776087900000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,KElcp6MliANhrQYS90cPhom0EBiKuc,2026-04-13T13:45:00.000Z,,652.66982
19.1,no bubbles.,1776074400000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,hEn72btLZaaRi8vhRLSp5JtOtN5uXm,2026-04-13T10:00:00.000Z,,652.66982
20,no bubbles.,1776058200000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,DC2KGQ3hGQeEoDQcxyN2u8a3mO3uvj,2026-04-13T05:30:00.000Z,,696.181141
19.4,no bubbles.,1776027600000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,Uds7rincZH9Huu4HMHNMQ1oxR0dWfP,2026-04-12T21:00:00.000Z,,696.181141
19.6,no bubbles.,1776013200000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,dGut8yXnNFY1NIZZE7r0eTIyaf6Vst,2026-04-12T17:00:00.000Z,,696.181141
18.7,no bubbles.,1775984400000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,Lke3RDsKqp444q4LWNJaZGJ75eq32R,2026-04-12T09:00:00.000Z,,696.181141
18.8,no bubbles.,1775973600000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,Kz5oCxyKX5AhqOaP9xBqgTlMdhWalb,2026-04-12T06:00:00.000Z,,696.181141
18.8,no bubbles.,1775930400000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,W4233pFgoJ5G6CB3HZh6mK3qNKxB3b,2026-04-11T18:00:00.000Z,,696.181141
19.6,three bubbles.,1775916000000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,dX0UxZ7GJgKjYiZvs92VQ6Cs3DXfJ5,2026-04-11T14:00:00.000Z,,725.188689
19,three bubbles.,1775886300000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,3ItoFV3whxMyJGVQDSPqlp96HxxR2r,2026-04-11T05:45:00.000Z,,725.188689
19.2,one bubble.,1775844000000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,pCbOrcrlOwXdFq2mFToNUj4hyEK58E,2026-04-10T18:00:00.000Z,,725.188689
18.8,no bubbles.,1775833200000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,9ipstyPZPO4EtD5MpX9V2BXW1skl4t,2026-04-10T15:00:00.000Z,,725.188689
19.4,one bubble.,1775812500000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,fUSwW1I5kpJRByzKOBAe5DlwIdWgWv,2026-04-10T09:15:00.000Z,,725.188689
19.1,three bubbles.,1775799900000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,4RpAjWKoP890qKmFEjtBpFWayYbRLu,2026-04-10T05:45:00.000Z,,725.188689
18.9,many bubbles.,1775766600000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,pAkJnyNeewNMlXWvcFV2L12tuAiIc2,2026-04-09T20:30:00.000Z,,725.188689
19,many bubbles.,1775751300000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,JOMetWx1CUDjefbs3AG8pQYOAR9qSR,2026-04-09T16:15:00.000Z,,725.188689
18.9,many bubbles.,1775712600000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,x4M3Xmpkw9RjauDyAjCt2D3emiMXMB,2026-04-09T05:30:00.000Z,,725.188689
18.8,many bubbles.,1775674800000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,nQpHmysCUT49gYqYnygr5hUe0Tifa4,2026-04-08T19:00:00.000Z,,725.188689
18.8,many bubbles.,1775664000000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,MZzS00XuSwlroz8G4JSpPtMabeTIEJ,2026-04-08T16:00:00.000Z,,725.188689
18.9,many bubbles.,1775627100000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,jzrK2PZewId3Eb8gB7PwyrXhYFqIkc,2026-04-08T05:45:00.000Z,,725.188689
19,many bubbles.,1775592000000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,dpQXbrGIcnifs2lm4zMrzbQdOJEu0M,2026-04-07T20:00:00.000Z,,725.188689
19,many bubbles.,1775580353660,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,PMd381pdaHO8uRS9TgKjU8mubvU0VL,2026-04-07T16:45:53.660Z,,725.188689
18.9,3 bubbles.,1775540700000,manual,,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,ZOfkv6cLMu41Xb6yfKUAs6d6JUe07M,2026-04-07T05:45:00.000Z,,725.188689
19,,1775500080000,manual,1.052,manual,HRWLs0YR1sMJ1y5dNqjz9xt05wuHwM$0$manual$manual$0,R9ul8pzFIvEbbflEHZHR25QfuzKytT,2026-04-06T18:28:00.000Z,5.24,0.145038
